One Direction with 5 Seconds of Summer Los Angeles Tickets - One Direction with 5 Seconds of Summer 08/10/2013 STAPLES Center Tickets on StubHub!,23.0,5620.0,2013-08-11T02:30:00Z,2012-11-15T22:28:28Z
Seattle Mariners vs Minnesota Twins [07/26/2013] Tickets on StubHub!,9.5,501.5,2013-07-27T02:10:00Z,2012-11-09T16:20:13Z
4174717,One Direction with 5 Seconds of Summer Los Angeles Tickets - One Direction with 5 Seconds of Summer 08/10/2013 STAPLES Center Tickets on StubHub!,23.0,5620.0,2013-08-11T02:30:00Z,2012-11-15T22:28:28Z
4171044,Seattle Mariners vs Minnesota Twins [07/26/2013] Tickets on StubHub!,9.5,501.5,2013-07-27T02:10:00Z,2012-11-09T16:20:13Z
